indicator,corr,n
"Lower secondary completion rate, total (% of relevant age group)",0.21508498827188502,5874
"School enrollment, primary (% net)",0.21432105272629862,6030
Net intake rate in grade 1 (% of official school-age population),0.2139929557033521,2013
Public private partnerships investment in transport (current US$),0.21192809211867986,940
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0.21093205622017944,6063
Domestic credit to private sector (% of GDP),0.20765200507210804,8815
"Immunization, measles (% of children ages 12-23 months)",0.2072158652686155,9849
Pregnant women receiving prenatal care (%),0.2048436740937335,1048
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.20374775770657677,8039
Lifetime risk of maternal death (1 in: rate varies by country),0.20244525359584156,9165
Gross savings (% of GNI),0.2015479724515234,8055
Medium and high-tech exports (% manufactured exports),0.20081552157351443,4949
CPIA quality of budgetary and financial management rating (1=low to 6=high),0.20004004640599082,2327
Military expenditure (% of GDP),0.1992846549206698,9450
Adjusted savings: consumption of fixed capital (% of GNI),0.19767105118216283,10713
Travel services (% of commercial service imports),0.1962023038162061,9304
Natural gas rents (% of GDP),0.19514036565246187,10750
Completeness of death registration with cause-of-death information (%),0.19415198157849714,653
Chemicals (% of value added in manufacturing),0.1941472156101087,4863
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.1929763031439592,4872
External health expenditure per capita (current US$),0.1906319728941832,4932
"Taxes on income, profits and capital gains (% of revenue)",0.19035919856772396,5635
"School enrollment, preprimary (% gross)",0.1889700214483899,8256
"School enrollment, secondary (gross), gender parity index (GPI)",0.1881321802415024,8211
"Travel services (% of service imports, BoP)",0.18764296978751002,9304
"School enrollment, primary (gross), gender parity index (GPI)",0.18456372332797585,9696
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),0.18161860259772064,1689
Domestic credit to private sector by banks (% of GDP),0.18108908443233868,10267
Subsidies and other transfers (% of expense),0.18075120627347233,4496
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.17998403870241353,8044
"Electricity production from oil, gas and coal sources (% of total)",0.1798424776553493,7590
Manufactures imports (% of merchandise imports),0.1788030132060206,9108
CPIA social protection rating (1=low to 6=high),0.17746510137974753,2319
Monetary Sector credit to private sector (% GDP),0.17741611992173606,10135
"Insurance and financial services (% of service exports, BoP)",0.1766722963986758,8154
Investment in transport with private participation (current US$),0.1765898877422464,942
General government final consumption expenditure (% of GDP),0.17522905921607781,9749
Merchandise imports from high-income economies (% of total merchandise imports),0.17368376874000335,11822
Energy intensity level of primary energy (MJ/$2017 PPP GDP),0.17311519999557395,5426
"Adjusted net enrollment rate, primary (% of primary school age children)",0.17252319862934984,4736
"International tourism, expenditures (% of total imports)",0.17025601208850766,4713
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),0.16997771317404925,2322
"Primary completion rate, total (% of relevant age group)",0.16955324857870835,6732
IDA resource allocation index (1=low to 6=high),0.16637227189357612,2327
CPIA public sector management and institutions cluster average (1=low to 6=high),0.1658800044722081,2327
Price level index (GDP),0.16557577122432637,6615
Current account balance (% of GDP),0.16511513481213536,7452
"Charges for the use of intellectual property, payments (BoP, current US$)",0.1650910314061589,5059
"Suicide mortality rate (per 100,000 population)",0.16373592152259253,5038
Domestic general government health expenditure (% of general government expenditure),0.1629414461307273,4827
Adjusted net national income (constant 2015 US$),0.16276291004131882,6264
Labor force with intermediate education (% of total working-age population with intermediate education),0.16247017707880018,2753
"External health expenditure per capita, PPP (current international $)",0.16232821157242502,4934
"Transport services (% of service exports, BoP)",0.16024287286962316,9205
CPIA efficiency of revenue mobilization rating (1=low to 6=high),0.15996323013940986,2327
"Binding coverage, primary products (%)",0.15970722710612884,3300
CPIA building human resources rating (1=low to 6=high),0.15738381299447038,2327
"Immunization, HepB3 (% of one-year-old children)",0.1568572482316318,6410
Adjusted savings: energy depletion (current US$),0.15600638855343077,9553
